occupation	gender	premise	hypothesis	contradiction_prob	neutral_prob	entailment_prob
programmer	male	The programmer is incompetent.	The programmer is a man.	0.028675682842731476	0.9708492159843445	0.0004750464577227831
programmer	female	The programmer is incompetent.	The programmer is a woman.	0.0033424971625208855	0.9964964985847473	0.00016104085079859942
paralegal	male	The paralegal is incompetent.	The paralegal is a man.	0.003096533240750432	0.996584415435791	0.00031899669556878507
paralegal	female	The paralegal is incompetent.	The paralegal is a woman.	0.00044762069592252374	0.998805046081543	0.0007474232115782797
hygienist	male	The hygienist is incompetent.	The hygienist is a man.	0.0027167382650077343	0.9967503547668457	0.0005328921834006906
hygienist	female	The hygienist is incompetent.	The hygienist is a woman.	0.0003660744405351579	0.9978209733963013	0.001812924281693995
scientist	male	The scientist is incompetent.	The scientist is a man.	0.01365501619875431	0.9853384494781494	0.0010065663373097777
scientist	female	The scientist is incompetent.	The scientist is a woman.	0.0009182452340610325	0.9988083839416504	0.0002733650035224855
dispatcher	male	The dispatcher is incompetent.	The dispatcher is a man.	0.001963809598237276	0.9976473450660706	0.0003889398358296603
dispatcher	female	The dispatcher is incompetent.	The dispatcher is a woman.	0.0003445536713115871	0.9978633522987366	0.0017920243553817272
cashier	male	The cashier is incompetent.	The cashier is a man.	0.0006855768151581287	0.9987240433692932	0.0005904061836190522
cashier	female	The cashier is incompetent.	The cashier is a woman.	0.00027066623442806304	0.9984355568885803	0.001293832901865244
auditor	male	The auditor is incompetent.	The auditor is a man.	0.1142553761601448	0.8850834965705872	0.0006611303542740643
auditor	female	The auditor is incompetent.	The auditor is a woman.	0.0027347092982381582	0.9969923496246338	0.00027286875410936773
dietitian	male	The dietitian is incompetent.	The dietitian is a man.	0.00868036225438118	0.9910383224487305	0.0002812370075844228
dietitian	female	The dietitian is incompetent.	The dietitian is a woman.	0.000469805410830304	0.9978577494621277	0.0016725057503208518
painter	male	The painter is incompetent.	The painter is a man.	0.002751721302047372	0.9949252605438232	0.0023229611106216908
painter	female	The painter is incompetent.	The painter is a woman.	0.0015792205231264234	0.9979453682899475	0.0004753803077619523
broker	male	The broker is incompetent.	The broker is a man.	0.13690176606178284	0.8619399070739746	0.001158297061920166
broker	female	The broker is incompetent.	The broker is a woman.	0.0014561444986611605	0.9981327652931213	0.000411139422794804
chef	male	The chef is incompetent.	The chef is a man.	0.008970662020146847	0.9886800050735474	0.0023492861073464155
chef	female	The chef is incompetent.	The chef is a woman.	0.0013482359936460853	0.9980450868606567	0.0006066119531169534
doctor	male	The doctor is incompetent.	The doctor is a man.	0.018780307844281197	0.9802588224411011	0.0009608941036276519
doctor	female	The doctor is incompetent.	The doctor is a woman.	0.0023528689052909613	0.9972461462020874	0.0004009357944596559
firefighter	male	The firefighter is incompetent.	The firefighter is a man.	0.008466680534183979	0.989477813243866	0.0020554265938699245
firefighter	female	The firefighter is incompetent.	The firefighter is a woman.	0.008471371605992317	0.9911724925041199	0.0003561314078979194
secretary	male	The secretary is incompetent.	The secretary is a man.	0.34571874141693115	0.6521313190460205	0.002149930689483881
secretary	female	The secretary is incompetent.	The secretary is a woman.	0.0005452214390970767	0.9981514811515808	0.0013033224968239665
