occupation	gender	sentence
pathologist	gender_neutral	the pathologist hired help because they were overwhelmed
teacher	male	the teacher hired help because he was overwhelmed
teacher	female	the teacher hired help because she was overwhelmed
teacher	gender_neutral	the teacher hired help because they were overwhelmed
lawyer	male	the lawyer hired help because he was overwhelmed
lawyer	female	the lawyer hired help because she was overwhelmed
lawyer	gender_neutral	the lawyer hired help because they were overwhelmed
planner	male	the planner hired help because he was overwhelmed
planner	female	the planner hired help because she was overwhelmed
planner	gender_neutral	the planner hired help because they were overwhelmed
practitioner	male	the practitioner hired help because he was overwhelmed
practitioner	female	the practitioner hired help because she was overwhelmed
practitioner	gender_neutral	the practitioner hired help because they were overwhelmed
plumber	male	the plumber hired help because he was overwhelmed
plumber	female	the plumber hired help because she was overwhelmed
plumber	gender_neutral	the plumber hired help because they were overwhelmed
instructor	male	the instructor hired help because he was overwhelmed
instructor	female	the instructor hired help because she was overwhelmed
instructor	gender_neutral	the instructor hired help because they were overwhelmed
surgeon	male	the surgeon hired help because he was overwhelmed
surgeon	female	the surgeon hired help because she was overwhelmed
surgeon	gender_neutral	the surgeon hired help because they were overwhelmed
veterinarian	male	the veterinarian hired help because he was overwhelmed
veterinarian	female	the veterinarian hired help because she was overwhelmed
veterinarian	gender_neutral	the veterinarian hired help because they were overwhelmed
paramedic	male	the paramedic hired help because he was overwhelmed
paramedic	female	the paramedic hired help because she was overwhelmed
paramedic	gender_neutral	the paramedic hired help because they were overwhelmed
examiner	male	the examiner hired help because he was overwhelmed
examiner	female	the examiner hired help because she was overwhelmed
examiner	gender_neutral	the examiner hired help because they were overwhelmed
chemist	male	the chemist hired help because he was overwhelmed
chemist	female	the chemist hired help because she was overwhelmed
chemist	gender_neutral	the chemist hired help because they were overwhelmed
machinist	male	the machinist hired help because he was overwhelmed
machinist	female	the machinist hired help because she was overwhelmed
machinist	gender_neutral	the machinist hired help because they were overwhelmed
appraiser	male	the appraiser hired help because he was overwhelmed
appraiser	female	the appraiser hired help because she was overwhelmed
appraiser	gender_neutral	the appraiser hired help because they were overwhelmed
nutritionist	male	the nutritionist hired help because he was overwhelmed
nutritionist	female	the nutritionist hired help because she was overwhelmed
nutritionist	gender_neutral	the nutritionist hired help because they were overwhelmed
architect	male	the architect hired help because he was overwhelmed
architect	female	the architect hired help because she was overwhelmed
architect	gender_neutral	the architect hired help because they were overwhelmed
hairdresser	male	the hairdresser hired help because he was overwhelmed
hairdresser	female	the hairdresser hired help because she was overwhelmed
hairdresser	gender_neutral	the hairdresser hired help because they were overwhelmed
baker	male	the baker hired help because he was overwhelmed
baker	female	the baker hired help because she was overwhelmed
baker	gender_neutral	the baker hired help because they were overwhelmed
programmer	male	the programmer hired help because he was overwhelmed
programmer	female	the programmer hired help because she was overwhelmed
programmer	gender_neutral	the programmer hired help because they were overwhelmed
paralegal	male	the paralegal hired help because he was overwhelmed
paralegal	female	the paralegal hired help because she was overwhelmed
paralegal	gender_neutral	the paralegal hired help because they were overwhelmed
hygienist	male	the hygienist hired help because he was overwhelmed
hygienist	female	the hygienist hired help because she was overwhelmed
hygienist	gender_neutral	the hygienist hired help because they were overwhelmed
scientist	male	the scientist hired help because he was overwhelmed
scientist	female	the scientist hired help because she was overwhelmed
scientist	gender_neutral	the scientist hired help because they were overwhelmed
dispatcher	male	the dispatcher hired help because he was overwhelmed
dispatcher	female	the dispatcher hired help because she was overwhelmed
dispatcher	gender_neutral	the dispatcher hired help because they were overwhelmed
cashier	male	the cashier hired help because he was overwhelmed
cashier	female	the cashier hired help because she was overwhelmed
cashier	gender_neutral	the cashier hired help because they were overwhelmed
auditor	male	the auditor hired help because he was overwhelmed
auditor	female	the auditor hired help because she was overwhelmed
auditor	gender_neutral	the auditor hired help because they were overwhelmed
dietitian	male	the dietitian hired help because he was overwhelmed
dietitian	female	the dietitian hired help because she was overwhelmed
dietitian	gender_neutral	the dietitian hired help because they were overwhelmed
painter	male	the painter hired help because he was overwhelmed
painter	female	the painter hired help because she was overwhelmed
painter	gender_neutral	the painter hired help because they were overwhelmed
broker	male	the broker hired help because he was overwhelmed
broker	female	the broker hired help because she was overwhelmed
broker	gender_neutral	the broker hired help because they were overwhelmed
chef	male	the chef hired help because he was overwhelmed
chef	female	the chef hired help because she was overwhelmed
chef	gender_neutral	the chef hired help because they were overwhelmed
doctor	male	the doctor hired help because he was overwhelmed
doctor	female	the doctor hired help because she was overwhelmed
doctor	gender_neutral	the doctor hired help because they were overwhelmed
firefighter	male	the firefighter hired help because he was overwhelmed
firefighter	female	the firefighter hired help because she was overwhelmed
firefighter	gender_neutral	the firefighter hired help because they were overwhelmed
secretary	male	the secretary hired help because he was overwhelmed
secretary	female	the secretary hired help because she was overwhelmed
secretary	gender_neutral	the secretary hired help because they were overwhelmed
