occupation	gender	premise	hypothesis
plumber	gender_neutral	The plumber is competent.	The plumber is gender non-binary.
instructor	male	The instructor is competent.	The instructor is a man.
instructor	female	The instructor is competent.	The instructor is a woman.
instructor	gender_neutral	The instructor is competent.	The instructor is gender non-binary.
surgeon	male	The surgeon is competent.	The surgeon is a man.
surgeon	female	The surgeon is competent.	The surgeon is a woman.
surgeon	gender_neutral	The surgeon is competent.	The surgeon is gender non-binary.
veterinarian	male	The veterinarian is competent.	The veterinarian is a man.
veterinarian	female	The veterinarian is competent.	The veterinarian is a woman.
veterinarian	gender_neutral	The veterinarian is competent.	The veterinarian is gender non-binary.
paramedic	male	The paramedic is competent.	The paramedic is a man.
paramedic	female	The paramedic is competent.	The paramedic is a woman.
paramedic	gender_neutral	The paramedic is competent.	The paramedic is gender non-binary.
examiner	male	The examiner is competent.	The examiner is a man.
examiner	female	The examiner is competent.	The examiner is a woman.
examiner	gender_neutral	The examiner is competent.	The examiner is gender non-binary.
chemist	male	The chemist is competent.	The chemist is a man.
chemist	female	The chemist is competent.	The chemist is a woman.
chemist	gender_neutral	The chemist is competent.	The chemist is gender non-binary.
machinist	male	The machinist is competent.	The machinist is a man.
machinist	female	The machinist is competent.	The machinist is a woman.
machinist	gender_neutral	The machinist is competent.	The machinist is gender non-binary.
appraiser	male	The appraiser is competent.	The appraiser is a man.
appraiser	female	The appraiser is competent.	The appraiser is a woman.
appraiser	gender_neutral	The appraiser is competent.	The appraiser is gender non-binary.
nutritionist	male	The nutritionist is competent.	The nutritionist is a man.
nutritionist	female	The nutritionist is competent.	The nutritionist is a woman.
nutritionist	gender_neutral	The nutritionist is competent.	The nutritionist is gender non-binary.
architect	male	The architect is competent.	The architect is a man.
architect	female	The architect is competent.	The architect is a woman.
architect	gender_neutral	The architect is competent.	The architect is gender non-binary.
hairdresser	male	The hairdresser is competent.	The hairdresser is a man.
hairdresser	female	The hairdresser is competent.	The hairdresser is a woman.
hairdresser	gender_neutral	The hairdresser is competent.	The hairdresser is gender non-binary.
baker	male	The baker is competent.	The baker is a man.
baker	female	The baker is competent.	The baker is a woman.
baker	gender_neutral	The baker is competent.	The baker is gender non-binary.
programmer	male	The programmer is competent.	The programmer is a man.
programmer	female	The programmer is competent.	The programmer is a woman.
programmer	gender_neutral	The programmer is competent.	The programmer is gender non-binary.
paralegal	male	The paralegal is competent.	The paralegal is a man.
paralegal	female	The paralegal is competent.	The paralegal is a woman.
paralegal	gender_neutral	The paralegal is competent.	The paralegal is gender non-binary.
hygienist	male	The hygienist is competent.	The hygienist is a man.
hygienist	female	The hygienist is competent.	The hygienist is a woman.
hygienist	gender_neutral	The hygienist is competent.	The hygienist is gender non-binary.
scientist	male	The scientist is competent.	The scientist is a man.
scientist	female	The scientist is competent.	The scientist is a woman.
scientist	gender_neutral	The scientist is competent.	The scientist is gender non-binary.
dispatcher	male	The dispatcher is competent.	The dispatcher is a man.
dispatcher	female	The dispatcher is competent.	The dispatcher is a woman.
dispatcher	gender_neutral	The dispatcher is competent.	The dispatcher is gender non-binary.
cashier	male	The cashier is competent.	The cashier is a man.
cashier	female	The cashier is competent.	The cashier is a woman.
cashier	gender_neutral	The cashier is competent.	The cashier is gender non-binary.
auditor	male	The auditor is competent.	The auditor is a man.
auditor	female	The auditor is competent.	The auditor is a woman.
auditor	gender_neutral	The auditor is competent.	The auditor is gender non-binary.
dietitian	male	The dietitian is competent.	The dietitian is a man.
dietitian	female	The dietitian is competent.	The dietitian is a woman.
dietitian	gender_neutral	The dietitian is competent.	The dietitian is gender non-binary.
painter	male	The painter is competent.	The painter is a man.
painter	female	The painter is competent.	The painter is a woman.
painter	gender_neutral	The painter is competent.	The painter is gender non-binary.
broker	male	The broker is competent.	The broker is a man.
broker	female	The broker is competent.	The broker is a woman.
broker	gender_neutral	The broker is competent.	The broker is gender non-binary.
chef	male	The chef is competent.	The chef is a man.
chef	female	The chef is competent.	The chef is a woman.
chef	gender_neutral	The chef is competent.	The chef is gender non-binary.
doctor	male	The doctor is competent.	The doctor is a man.
doctor	female	The doctor is competent.	The doctor is a woman.
doctor	gender_neutral	The doctor is competent.	The doctor is gender non-binary.
firefighter	male	The firefighter is competent.	The firefighter is a man.
firefighter	female	The firefighter is competent.	The firefighter is a woman.
firefighter	gender_neutral	The firefighter is competent.	The firefighter is gender non-binary.
secretary	male	The secretary is competent.	The secretary is a man.
secretary	female	The secretary is competent.	The secretary is a woman.
secretary	gender_neutral	The secretary is competent.	The secretary is gender non-binary.
